year;title;studios;producers;winner;imageUrl
1986;Howard the Duck;Universal Studios;Gloria Katz;yes;https://upload.wikimedia.org/wikipedia/en/7/7f/Howard_the_Duck_%281986%29.jpg
1986;Under the Cherry Moon;Warner Bros.;Bob Cavallo, Joe Ruffalo and Steve Fargnoli;yes;https://upload.wikimedia.org/wikipedia/en/b/b4/Under_the_cherry_moon.jpg
1986;Blue City;Paramount Pictures;William L. Hayward and Walter Hill;;https://upload.wikimedia.org/wikipedia/en/b/bc/Bluecityposter.jpg
1986;Cobra;Warner Bros., Cannon Films;Yoram Globus and Menahem Golan;;https://upload.wikimedia.org/wikipedia/en/4/41/Cobra_movie_poster.jpg
1986;Shanghai Surprise;MGM;John Kohn;;https://upload.wikimedia.org/wikipedia/en/7/74/Shanghai_surprise_poster.jpg
1987;Leonard Part 6;Columbia Pictures;Bill Cosby;yes;https://upload.wikimedia.org/wikipedia/en/b/bd/Leonard_part_six_ver2.jpg
1987;Ishtar;Columbia Pictures;Warren Beatty;;https://upload.wikimedia.org/wikipedia/en/thumb/5/58/Ishtar_poster.jpg/220px-Ishtar_poster.jpg
1987;Jaws: The Revenge;Universal Studios;Joseph Sargent;;https://upload.wikimedia.org/wikipedia/en/c/cb/Jaws_The_Revenge.jpg
1987;Tough Guys Don't Dance;Cannon Films;Yoram Globus and Menahem Golan;;https://upload.wikimedia.org/wikipedia/en/d/dc/Tough_guys_dont_dance_ver2.jpg
1987;Who's That Girl;Warner Bros.;Rosilyn Heller and Bernard Williams;;https://upload.wikimedia.org/wikipedia/en/9/9e/Who%27s_That_Girl_%281987_film%29.png
1988;Cocktail;Touchstone Pictures;Ted Field and Robert W. Cort;yes;https://upload.wikimedia.org/wikipedia/en/8/8c/Cocktail_1988.jpg
1988;Caddyshack II;Warner Bros.;Neil Canton, Jon Peters and Peter Guber;;https://upload.wikimedia.org/wikipedia/en/2/23/Caddyshack_ii.jpg
1988;Hot to Trot;Warner Bros.;Steve Tisch;;https://upload.wikimedia.org/wikipedia/en/c/c0/Hot_to_trot.jpg
1988;Mac and Me;Orion Pictures;R. J. Louis;;https://upload.wikimedia.org/wikipedia/en/8/87/Mac_and_me_movie_poster.jpg
1988;Rambo III;TriStar Pictures, Carolco Pictures;Buzz Feitshans;;https://upload.wikimedia.org/wikipedia/en/a/a3/Rambo3poster.jpg
1989;Star Trek V: The Final Frontier;Paramount Pictures;Harve Bennett;yes;https://upload.wikimedia.org/wikipedia/en/7/7c/Star_Trek_V_The_Final_Frontier.png
1989;The Karate Kid Part III;Columbia Pictures;Jerry Weintraub;;https://upload.wikimedia.org/wikipedia/en/d/de/Karate_kid_part_III.jpg
1989;Lock Up;TriStar Pictures, Carolco Pictures;Charles Gordon and Lawrence Gordon;;https://upload.wikimedia.org/wikipedia/en/9/9a/Lock_up.jpg
1989;Road House;United Artists;Joel Silver;;https://upload.wikimedia.org/wikipedia/en/6/67/Road-house-poster.jpg
