year;title;studios;producers;winner;imageUrl
2011;Bucky Larson: Born to Be a Star;Columbia Pictures;Barry Bernardi, Allen Covert, David Dorfman and Jack Giarraputo;;https://upload.wikimedia.org/wikipedia/en/1/1f/Born_to_Be_a_Star_Poster.jpg
2011;New Year's Eve;Warner Bros., New Line Cinema;Mike Karz, Garry Marshall and Wayne Allan Rice;;https://upload.wikimedia.org/wikipedia/en/b/b0/New_Year%27s_Eve_Poster.jpg
2011;Transformers: Dark of the Moon;Paramount Pictures;Lorenzo di Bonaventura, Ian Bryce, Tom DeSanto and Don Murphy;;https://upload.wikimedia.org/wikipedia/en/b/bf/Transformers_dark_of_the_moon_ver5.jpg
2011;The Twilight Saga: Breaking Dawn – Part 1;Summit Entertainment;Wyck Godfrey, Stephenie Meyer and Karen Rosenfelt;;https://upload.wikimedia.org/wikipedia/en/c/c2/Breaking_Dawn_Part_1_Poster.jpg
2012;The Twilight Saga: Breaking Dawn – Part 2;Summit Entertainment;Wyck Godfrey, Stephenie Meyer and Karen Rosenfelt;yes;https://upload.wikimedia.org/wikipedia/en/4/49/The_Twilight_Saga_Breaking_Dawn_Part_2_poster.jpg
2012;Battleship;Universal Studios;Sarah Aubrey, Peter Berg, Brian Goldner, Duncan Henderson, Bennett Schneir and Scott Stuber;;https://upload.wikimedia.org/wikipedia/en/6/6e/Battleship_Poster.jpg
2012;The Oogieloves in the Big Balloon Adventure;Lionsgate Films, Romar Entertainment, Kenn Viselman Presents;Gayle Dickie, Kenn Viselman;;https://upload.wikimedia.org/wikipedia/en/c/ca/The_Oogieloves_in_the_Big_Balloon_Adventure_Movie_Poster.jpg
2012;That's My Boy;Columbia Pictures;Allen Covert, Jack Giarraputo, Heather Parry and Adam Sandler;;https://upload.wikimedia.org/wikipedia/en/1/11/That%27s_My_Boy_poster.jpg
2012;A Thousand Words;Paramount Pictures, DreamWorks;Nicolas Cage, Alain Chabat, Stephanie Danan, Norman Golightly, Brian Robbinsand Sharla Sumpter Bridgett;;https://upload.wikimedia.org/wikipedia/en/c/cf/A_Thousand_Words_Poster.jpg
2013;Movie 43;Relativity Media;Peter Farrelly, Ryan Kavanaugh, John Penotti and Charles B. Wessler;yes;https://upload.wikimedia.org/wikipedia/en/e/e0/Movie_43_poster.jpg
2013;After Earth;Columbia Pictures;James Lassiter, Caleeb Pinkett, Jada Pinkett Smith, M. Night Shyamalan, Will Smith and Jaden Smith;;https://upload.wikimedia.org/wikipedia/en/5/5b/After_Earth_Poster.jpg
2013;Grown Ups 2;Columbia Pictures;Jack Giarraputo and Adam Sandler;;https://upload.wikimedia.org/wikipedia/en/2/29/Grown_Ups_2_Poster.jpg
2013;The Lone Ranger;Walt Disney Pictures;Jerry Bruckheimer and Gore Verbinski;;https://upload.wikimedia.org/wikipedia/en/0/0d/TheLoneRanger2013Poster.jpg
2013;A Madea Christmas;Lionsgate;Ozzie Areu, Matt Moore and Tyler Perry;;https://upload.wikimedia.org/wikipedia/en/4/46/A_Madea_Christmas.jpg
2014;Saving Christmas;Samuel Goldwyn Films;Darren Doane, Raphi Henley, Amanda Rosser and David Shannon;yes;https://upload.wikimedia.org/wikipedia/en/9/92/Saving_Christmas_poster.jpg
2014;Left Behind;Freestyle Releasing, Entertainment One;Michael Walker and Paul LaLonde;;https://upload.wikimedia.org/wikipedia/en/7/70/Left_Behind_film_poster.jpg
2014;The Legend of Hercules;Summit Entertainment;Boaz Davidson, Renny Harlin, Danny Lerner and Les Weldon;;https://upload.wikimedia.org/wikipedia/en/0/0a/Hercules_%282014_film%29_poster.jpg
2014;Teenage Mutant Ninja Turtles;Paramount Pictures, Nickelodeon Movies, Platinum Dunes;Michael Bay, Ian Bryce, Andrew Form, Bradley Fuller, Scott Mednick and Galen Walker;;https://upload.wikimedia.org/wikipedia/en/0/09/Teenage_Mutant_Ninja_Turtles_film_July_2014_poster.jpg
2014;Transformers: Age of Extinction;Paramount Pictures;Ian Bryce, Tom DeSanto, Lorenzo di Bonaventura and Don Murphy;;https://upload.wikimedia.org/wikipedia/en/0/0f/Transformers_Age_of_Extinction_poster.jpg
2015;Fantastic Four;20th Century Fox;Simon Kinberg, Matthew Vaughn, Hutch Parker, Robert Kulzer and Gregory Goodman;yes;https://upload.wikimedia.org/wikipedia/en/f/f4/Fantastic_Four_2015_poster.jpg
2015;Fifty Shades of Grey;Universal Pictures, Focus Features;Michael De Luca, Dana Brunetti and E. L. James;yes;https://upload.wikimedia.org/wikipedia/en/7/73/Fifty_Shades_of_Grey_poster.jpg
2015;Jupiter Ascending;Warner Bros.;Grant Hill and The Wachowskis;;https://upload.wikimedia.org/wikipedia/en/7/76/%27Jupiter_Ascending%27_Theatrical_Poster.jpg
2015;Paul Blart: Mall Cop 2;Columbia Pictures;Todd Garner, Kevin James and Adam Sandler;;https://upload.wikimedia.org/wikipedia/en/a/aa/Paul_Blart_-_Mall_Cop_2_poster.jpg
2015;Pixels;Columbia Pictures;Adam Sandler, Chris Columbus, Mark Radcliffe and Allen Covert;;https://upload.wikimedia.org/wikipedia/en/f/f0/PixelsOfficialPoster.jpg
2016;Hillary's America: The Secret History of the Democratic Party;Quality Flix;Gerald R. Molen;yes;https://upload.wikimedia.org/wikipedia/en/c/ca/Hillarys_America_documentary_film_poster.png
2016;Batman v Superman: Dawn of Justice;Warner Bros.;Charles Roven and Deborah Snyder;;https://upload.wikimedia.org/wikipedia/en/3/31/Batman_v_Superman_Dawn_of_Justice_poster.jpg
2016;Dirty Grandpa;Lionsgate;Bill Block, Michael Simkin, Jason Barrett and Barry Josephson;;https://upload.wikimedia.org/wikipedia/en/6/62/Dirty_Grandpa_teaser_poster.jpg
2016;Gods of Egypt;Summit Entertainment;Basil Iwanyk and Alex Proyas;;https://upload.wikimedia.org/wikipedia/en/2/2f/Gods_of_Egypt_poster.jpg
2016;Independence Day: Resurgence;20th Century Fox;Dean Devlin, Harald Kloser and Roland Emmerich;;https://upload.wikimedia.org/wikipedia/en/f/f3/Independence_Day_Resurgence_poster.jpg
2016;Zoolander 2;Paramount Pictures;Stuart Cornfeld, Scott Rudin, Ben Stiller and Clayton Townsend;;https://upload.wikimedia.org/wikipedia/en/b/b2/Zoolander_2_poster.jpg
2017;The Emoji Movie;Columbia Pictures;Michelle Raimo Kouyate;yes;https://upload.wikimedia.org/wikipedia/en/6/63/The_Emoji_Movie_film_poster.jpg
2017;Baywatch;Paramount Pictures;Ivan Reitman, Michael Berk, Douglas Schwartz, Gregory J. Bonann and Beau Flynn;;https://upload.wikimedia.org/wikipedia/en/1/13/Baywatch_poster.jpg
2017;Fifty Shades Darker;Universal Pictures;Michael De Luca, E. L. James, Dana Brunetti and Marcus Viscidi;;https://upload.wikimedia.org/wikipedia/en/2/2d/Fifty_Shades_Darker_film_poster.jpg
2017;The Mummy;Universal Pictures;Alex Kurtzman, Chris Morgan, Sean Daniel and Sarah Bradshaw;;https://upload.wikimedia.org/wikipedia/en/a/a2/The_Mummy_%282017%29.jpg
2017;Transformers: The Last Knight;Paramount Pictures;Don Murphy, Tom DeSanto, Lorenzo di Bonaventura and Ian Bryce;;https://upload.wikimedia.org/wikipedia/en/2/26/Transformers_The_Last_Knight_poster.jpg
2018;Holmes & Watson;Columbia Pictures;Will Ferrell, Adam McKay, Jimmy Miller and Clayton Townsend;yes;https://upload.wikimedia.org/wikipedia/en/1/1d/Holmes_%26_Watson.png
2018;Gotti;Vertical Entertainment;Randall Emmett, Marc Fiore, Michael Froch and George Furla;;https://upload.wikimedia.org/wikipedia/en/7/79/Gotti_movie_poster.jpg
2018;The Happytime Murders;STX;Ben Falcone, Jeffrey Hayes, Brian Henson and Melissa McCarthy;;https://upload.wikimedia.org/wikipedia/en/4/40/The_Happytime_Murders.png
2018;Robin Hood;Summit Entertainment;Jennifer Davisson and Leonardo DiCaprio;;https://upload.wikimedia.org/wikipedia/en/3/3a/Robin_Hood_%282018_film_poster%29.png
2018;Winchester;Lionsgate;Tim McGahan and Brett Tomberlin;;https://upload.wikimedia.org/wikipedia/en/d/d4/Winchester_%28film%29.png
2019;Cats;Universal Pictures;Debra Hayward, Tim Bevan, Eric Fellner, and Tom Hooper;yes;https://upload.wikimedia.org/wikipedia/en/c/cf/Cats_2019_poster.jpg
2019;The Fanatic;Quiver Distribution;Daniel Grodnik, Oscar Generale, and Bill Kenwright;;https://upload.wikimedia.org/wikipedia/en/4/41/The_Fanatic_-_release_poster.jpg
2019;The Haunting of Sharon Tate;Saban Films;Lucas Jarach, Daniel Farrands, and Eric Brenner;;https://upload.wikimedia.org/wikipedia/en/c/cd/The_Haunting_of_Sharon_Tate_poster.png
2019;A Madea Family Funeral;Lionsgate;Ozzie Areu, Will Areu, and Mark E. Swinton;;https://upload.wikimedia.org/wikipedia/en/f/f3/MadeaFamilyFuneral.png
2019;Rambo: Last Blood;Lionsgate;Avi Lerner, Kevin King Templeton, Yariv Lerner, and Les Weldon;;https://upload.wikimedia.org/wikipedia/en/b/b1/Rambo_-_Last_Blood_official_theatrical_poster.jpg
2020;Absolute Proof;Broadcast Company;Mary Fanning, Brandon Howse;yes;https://upload.wikimedia.org/wikipedia/en/d/d3/Absolute_Proof_title_card.png
2020;Dolitle;Universal Pictures;"Susan Downey, 
Jeff Kirschenbaum
, Joe Roth";;https://upload.wikimedia.org/wikipedia/en/1/1f/Dolittle_%282020_film_poster%29.png
2020;365 Days;Next Film;Maciej Kawulsk, Robert Kijak;;https://upload.wikimedia.org/wikipedia/en/3/32/365_Dni_film_poster.png
2020;Music;HanWay Films;Sia;;https://upload.wikimedia.org/wikipedia/en/6/6b/Music_%282021_film%29.png
2020;Fantasy Island;Sony Pictures;Jason Blum;;https://upload.wikimedia.org/wikipedia/en/7/7e/Fantasy_Island_poster.jpg
2021;Diana;Netflix;David Bryan;yes;https://upload.wikimedia.org/wikipedia/en/4/44/Diana_Musical_Poster.jpg
2021;Infinite;Paramount Pictures;Lorenzo di Bonaventura, Mark Wahlberg;;https://upload.wikimedia.org/wikipedia/en/0/07/Infinite_%282021_film%29_release_poster.jpeg
2021;Karen;BET Original Movies;Autumn Bailey-Ford;;https://upload.wikimedia.org/wikipedia/en/9/9a/Karen2021poster.jpeg
2021;The Woman In The Window;20th Century Studios;Scott Rudin;;https://upload.wikimedia.org/wikipedia/en/9/98/The_Woman_in_the_Window.jpg
2021;Space Jam: A New Legacy;Warner Animation Group;"Ryan Coogler,
LeBron James";;https://upload.wikimedia.org/wikipedia/en/b/b7/SpaceJamANewLegacyOfficialPoster.jpg
2022;Blonde;Plan B Entertainment;Brad Pitt;yes;https://upload.wikimedia.org/wikipedia/en/6/6d/Blonde_2022_film_poster.jpg
2022;Good Mourning;Cedar Park Studios;Colson Baker;;https://upload.wikimedia.org/wikipedia/en/a/a2/The_film_poster_to_represent_the_2022_film_%22Good_Mourning%22.png
2022;Morbius;Sony Pictures;Avi Arad;;https://upload.wikimedia.org/wikipedia/en/2/2f/Morbius_%28film%29_poster.jpg
2022;Pinocchio;Walt Disney Pictures;Andrew Milano, Chris Weitz;;https://upload.wikimedia.org/wikipedia/en/5/5b/Pinocchio_2022_film_poster.png
2022;The King's Daughter;Bliss Media;James Pang Hong;;https://upload.wikimedia.org/wikipedia/en/c/ca/The_King%27s_Daughter_%282022_film%29.jpg
2023;Winnie-the-Pooh: Blood and Honey;Jagged Edge Productions;Scott Jeffrey;yes;https://upload.wikimedia.org/wikipedia/en/7/74/Winnie_the_Pooh%2C_Blood_and_Honey_Film_Poster.jpg
2023;Shazam! Fury of the Gods;Warner Bros.;Peter Safran;;https://upload.wikimedia.org/wikipedia/en/f/fb/Shazam%21_Fury_of_the_Gods_%282023%29_Main_Poster.png
2023;The Expendables 4;Lionsgate;Kevin King-Templeton;;https://upload.wikimedia.org/wikipedia/en/2/2d/Expendables_4_Poster.jpg
2023;The Exorcist: Believer;Blumhouse Productions;Peter Sattler;;https://upload.wikimedia.org/wikipedia/en/3/36/ExorcistBelieverPoster.jpg
2023;Meg 2: The Trench;Warner Bros.;Lorenzo di Bonaventura;;https://upload.wikimedia.org/wikipedia/en/c/ca/Meg_2-_The_Trench_film_cover.jpg
